GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Not difficult at all,League of Legends,20,1,3,Male,29,Employed,Bachelor (or equivalent),USA,20,18,4
Somewhat difficult,League of Legends,30,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),AUT,14,35,4
Not difficult at all,League of Legends,20,1,1,Male,23,Student at school,"Ph.D., Psy. D., MD (or equivalent)",USA,34,0,1
Not difficult at all,League of Legends,25,1,1,Male,20,Student at college / university,High school diploma (or equivalent),DEU,17,3,1
Somewhat difficult,League of Legends,14,1,2,Male,18,Student at school,None,DNK,15,22,1
Somewhat difficult,League of Legends,20,1,2,Female,29,Employed,Bachelor (or equivalent),CAN,23,37,9
Somewhat difficult,League of Legends,16,1,1,Male,24,Employed,Master (or equivalent),FRA,29,12,2
Not difficult at all,League of Legends,20,1,1,Male,20,Student at college / university,Bachelor (or equivalent),DEU,16,15,3
Somewhat difficult,League of Legends,16,1,3,Male,23,Employed,Bachelor (or equivalent),USA,34,25,6
Not difficult at all,League of Legends,28,1,2,Male,19,Student at school,High school diploma (or equivalent),DEU,18,10,3
Somewhat difficult,League of Legends,10,1,1,Male,30,Employed,Master (or equivalent),CAN,24,8,6
Not difficult at all,League of Legends,20,1,2,Male,20,Student at school,High school diploma (or equivalent),BEL,29,7,2
Somewhat difficult,League of Legends,25,1,1,Male,18,Unemployed / between jobs,High school diploma (or equivalent),DEU,21,32,4
Somewhat difficult,League of Legends,35,1,3,Male,20,Student at college / university,High school diploma (or equivalent),DEU,25,NA,3
Not difficult at all,League of Legends,27,1,3,Male,22,Student at college / university,High school diploma (or equivalent),DEU,23,5,1
Somewhat difficult,League of Legends,15,1,1,Male,22,Student at college / university,Master (or equivalent),FRA,24,17,2
Somewhat difficult,League of Legends,15,0,2,Male,18,Student at school,None,USA,24,24,10
Somewhat difficult,League of Legends,4,1,2,Male,23,Student at college / university,Bachelor (or equivalent),PRT,14,17,0
Not difficult at all,League of Legends,35,1,4,Male,18,Student at school,None,CAN,23,15,2
Not difficult at all,League of Legends,10,1,3,Male,28,Employed,Bachelor (or equivalent),SWE,29,9,1
Not difficult at all,League of Legends,10,1,1,Female,26,Employed,Bachelor (or equivalent),USA,23,20,3
Not difficult at all,League of Legends,35,1,2,Male,21,Unemployed / between jobs,High school diploma (or equivalent),BIH,10,1,8
Not difficult at all,League of Legends,6,1,5,Male,21,Unemployed / between jobs,High school diploma (or equivalent),ITA,27,7,3
Somewhat difficult,League of Legends,10,1,1,Male,19,Student at college / university,High school diploma (or equivalent),AUS,23,NA,5
Not difficult at all,League of Legends,6,1,1,Male,23,Employed,Bachelor (or equivalent),USA,30,8,0
Not difficult at all,League of Legends,35,1,2,Male,19,Student at college / university,High school diploma (or equivalent),SVN,30,0,1
Somewhat difficult,League of Legends,28,1,4,Male,22,Student at college / university,High school diploma (or equivalent),USA,8,12,5
Not difficult at all,League of Legends,15,1,2,Female,19,Student at college / university,High school diploma (or equivalent),AUS,11,39,2
Not difficult at all,League of Legends,35,1,2,Male,25,Employed,Master (or equivalent),SWE,18,19,1
Not difficult at all,League of Legends,40,1,4,Male,29,Unemployed / between jobs,Bachelor (or equivalent),SWE,10,2,3
Somewhat difficult,League of Legends,25,1,4,Male,19,Student at college / university,High school diploma (or equivalent),GRC,12,48,3
Not difficult at all,League of Legends,30,1,1,Male,25,Student at college / university,Bachelor (or equivalent),ARG,7,11,5
Not difficult at all,League of Legends,16,1,3,Male,21,Student at college / university,Bachelor (or equivalent),JOR,14,11,2
Not difficult at all,League of Legends,9,1,1,Male,22,Employed,Bachelor (or equivalent),FRA,22,NA,3
Very difficult,League of Legends,21,1,4,Male,21,Unemployed / between jobs,High school diploma (or equivalent),BRA,9,39,4
Very difficult,League of Legends,40,0,1,Male,19,Student at college / university,High school diploma (or equivalent),VEN,12,52,13
Not difficult at all,League of Legends,15,0,3,Male,25,Student at college / university,Bachelor (or equivalent),BRA,8,25,2
Not difficult at all,League of Legends,21,1,1,Male,24,Employed,Bachelor (or equivalent),AUT,5,0,0
Not difficult at all,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,30,16,3
Somewhat difficult,League of Legends,20,1,4,Male,18,Student at college / university,High school diploma (or equivalent),GBR,17,43,5
Not difficult at all,League of Legends,18,1,2,Male,22,Student at college / university,Bachelor (or equivalent),TUN,15,29,5
Not difficult at all,League of Legends,35,1,3,Male,19,Student at college / university,High school diploma (or equivalent),DEU,17,5,0
Not difficult at all,League of Legends,15,1,2,Male,25,Student at college / university,Bachelor (or equivalent),BRA,20,0,4
Not difficult at all,League of Legends,20,1,1,Male,18,Student at college / university,High school diploma (or equivalent),GBR,31,6,4
Not difficult at all,League of Legends,18,1,2,Male,23,Employed,High school diploma (or equivalent),USA,13,0,0
Somewhat difficult,League of Legends,15,1,3,Male,20,Student at college / university,High school diploma (or equivalent),CHE,14,15,2
Not difficult at all,League of Legends,20,1,1,Male,18,Unemployed / between jobs,High school diploma (or equivalent),ISR,21,11,2
Not difficult at all,League of Legends,7,1,2,Male,19,Student at college / university,High school diploma (or equivalent),GBR,28,8,0
Not difficult at all,League of Legends,15,1,1,Male,31,Employed,Bachelor (or equivalent),CAN,15,7,0
Somewhat difficult,League of Legends,20,1,2,Male,18,Student at school,High school diploma (or equivalent),NLD,13,NA,16
Somewhat difficult,League of Legends,20,1,3,Male,18,Student at college / university,High school diploma (or equivalent),DNK,25,9,6
Somewhat difficult,League of Legends,45,1,1,Female,19,Student at college / university,High school diploma (or equivalent),AUS,17,34,13
Somewhat difficult,League of Legends,45,1,2,Male,18,Student at school,None,DEU,7,26,12
Very difficult,League of Legends,40,1,5,Male,21,Student at college / university,Bachelor (or equivalent),USA,17,41,21
Very difficult,League of Legends,30,1,1,Male,22,Student at college / university,Bachelor (or equivalent),QAT,23,43,18
Somewhat difficult,League of Legends,10,1,1,Female,22,Student at college / university,High school diploma (or equivalent),UKR,27,40,4
Somewhat difficult,League of Legends,24,1,5,Male,19,Student at college / university,High school diploma (or equivalent),BRA,26,32,5
Very difficult,League of Legends,20,1,1,Male,22,Student at college / university,Bachelor (or equivalent),GBR,13,57,20
Somewhat difficult,League of Legends,25,1,2,Male,18,Student at school,None,DEU,17,22,7
Not difficult at all,League of Legends,20,1,2,Male,18,Student at school,None,NOR,29,NA,0
NA,League of Legends,20,1,1,Male,32,Employed,None,CAN,17,NA,0
Not difficult at all,League of Legends,28,1,2,Male,21,Unemployed / between jobs,High school diploma (or equivalent),ITA,15,35,1
Somewhat difficult,League of Legends,15,1,1,Male,18,Student at school,High school diploma (or equivalent),USA,11,12,8
NA,League of Legends,10,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,20,63,0
Not difficult at all,League of Legends,50,1,1,Male,20,Student at college / university,High school diploma (or equivalent),USA,18,10,0
Not difficult at all,League of Legends,14,1,1,Male,19,Student at college / university,High school diploma (or equivalent),SWE,23,22,1
Somewhat difficult,League of Legends,20,1,1,Male,18,Student at school,None,USA,32,31,6
NA,League of Legends,10,1,1,Male,24,Student at college / university,Bachelor (or equivalent),DNK,33,NA,0
Not difficult at all,League of Legends,20,1,1,Male,20,Student at college / university,High school diploma (or equivalent),BGR,23,20,2
Extremely difficult,League of Legends,10,1,1,Female,18,Student at school,High school diploma (or equivalent),USA,33,60,18
NA,League of Legends,40,1,4,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,9,20,0
Somewhat difficult,League of Legends,25,1,2,Male,20,Student at college / university,Master (or equivalent),FRA,30,15,2
Very difficult,League of Legends,35,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,21,32,16
Not difficult at all,League of Legends,8,1,1,Male,18,Student at college / university,High school diploma (or equivalent),NLD,21,10,8
NA,League of Legends,10,1,1,Male,23,Student at college / university,High school diploma (or equivalent),FIN,28,4,0
Somewhat difficult,League of Legends,20,1,2,Male,23,Student at college / university,Bachelor (or equivalent),DEU,18,33,8
Not difficult at all,League of Legends,20,1,3,Male,18,Student at school,High school diploma (or equivalent),DEU,31,8,4
Not difficult at all,League of Legends,48,1,1,Male,19,Student at college / university,High school diploma (or equivalent),ESP,21,49,9
Somewhat difficult,League of Legends,10,1,2,Male,23,Student at school,High school diploma (or equivalent),USA,10,53,12
Somewhat difficult,League of Legends,30,1,1,Male,19,Student at college / university,High school diploma (or equivalent),ITA,27,37,13
NA,League of Legends,15,1,1,Male,22,Student at college / university,High school diploma (or equivalent),DNK,26,20,0
NA,League of Legends,22,1,2,Male,23,Employed,Bachelor (or equivalent),ARG,22,11,0
