GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Somewhat difficult,League of Legends,20,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,22,23,9
Not difficult at all,League of Legends,8,1,2,Male,31,Employed,Bachelor (or equivalent),USA,30,1,1
Not difficult at all,League of Legends,25,1,4,Male,18,Student at school,High school diploma (or equivalent),USA,35,9,17
Somewhat difficult,League of Legends,8,1,1,Male,18,Student at school,Bachelor (or equivalent),USA,15,NA,1
Somewhat difficult,League of Legends,55,1,2,Male,19,Student at college / university,High school diploma (or equivalent),GBR,17,16,2
Very difficult,League of Legends,30,1,1,Male,21,Student at college / university,High school diploma (or equivalent),AUS,17,24,11
Not difficult at all,League of Legends,40,1,2,Male,21,Employed,Bachelor (or equivalent),USA,6,2,4
Somewhat difficult,League of Legends,42,1,2,Male,18,Student at college / university,High school diploma (or equivalent),BRA,16,45,11
Somewhat difficult,League of Legends,30,1,2,Male,18,Student at college / university,High school diploma (or equivalent),GBR,26,36,6
Somewhat difficult,League of Legends,30,1,3,Male,20,Student at college / university,High school diploma (or equivalent),USA,7,31,7
Not difficult at all,League of Legends,20,1,3,Male,21,Student at college / university,High school diploma (or equivalent),USA,27,7,2
Not difficult at all,League of Legends,10,1,1,Male,18,Student at school,None,HUN,24,48,4
Somewhat difficult,League of Legends,55,1,2,Male,20,Student at college / university,High school diploma (or equivalent),BRA,24,23,6
Not difficult at all,League of Legends,7,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,34,18,0
Not difficult at all,League of Legends,10,1,2,Male,27,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",CAN,34,7,3
Not difficult at all,League of Legends,10,1,2,Male,27,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",CAN,34,7,3
Not difficult at all,League of Legends,40,1,2,Male,22,Employed,Bachelor (or equivalent),USA,29,12,1
Extremely difficult,League of Legends,5,1,1,Male,19,Student at college / university,High school diploma (or equivalent),CAN,10,42,14
Not difficult at all,League of Legends,40,1,3,Male,18,Employed,High school diploma (or equivalent),USA,22,8,3
Somewhat difficult,League of Legends,20,1,1,Female,18,Student at college / university,High school diploma (or equivalent),GBR,28,39,16
Very difficult,League of Legends,40,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,28,10,8
NA,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),GBR,30,11,0
Somewhat difficult,League of Legends,40,1,2,Male,24,Unemployed / between jobs,High school diploma (or equivalent),USA,5,21,15
Somewhat difficult,League of Legends,20,1,2,Male,27,Student at college / university,High school diploma (or equivalent),ARG,11,13,4
Not difficult at all,League of Legends,20,1,3,Male,24,Employed,Master (or equivalent),CAN,28,4,1
Somewhat difficult,League of Legends,14,1,4,Female,23,Employed,High school diploma (or equivalent),USA,20,22,14
NA,League of Legends,25,1,2,Male,18,Student at school,None,USA,29,33,0
Somewhat difficult,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,24,44,7
Not difficult at all,League of Legends,12,1,5,Male,18,Student at college / university,Bachelor (or equivalent),USA,32,7,5
NA,League of Legends,10,1,2,Male,18,Student at school,None,CAN,32,11,0
Somewhat difficult,League of Legends,15,1,4,Male,21,Student at college / university,High school diploma (or equivalent),CRI,20,26,12
Not difficult at all,League of Legends,30,1,1,Male,18,Unemployed / between jobs,High school diploma (or equivalent),NLD,33,NA,3
Very difficult,League of Legends,10,1,1,Male,19,Student at college / university,High school diploma (or equivalent),DEU,25,31,4
Not difficult at all,League of Legends,7,1,1,Female,31,Employed,Bachelor (or equivalent),USA,23,8,4
Somewhat difficult,League of Legends,5,1,1,Male,25,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",USA,26,28,4
Not difficult at all,League of Legends,20,1,1,Male,20,Student at college / university,Bachelor (or equivalent),USA,23,12,1
Somewhat difficult,League of Legends,20,0,2,Male,18,Student at school,High school diploma (or equivalent),AUS,15,23,5
Not difficult at all,League of Legends,35,1,2,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,10,25,8
Not difficult at all,League of Legends,20,1,3,Male,24,Student at college / university,High school diploma (or equivalent),USA,10,5,5
Not difficult at all,League of Legends,8,1,3,Male,20,Employed,Bachelor (or equivalent),AUS,10,11,5
Not difficult at all,League of Legends,8,1,1,Male,18,Student at school,None,USA,24,23,3
Somewhat difficult,League of Legends,20,1,2,Male,18,Unemployed / between jobs,High school diploma (or equivalent),DEU,18,14,4
Not difficult at all,League of Legends,7,1,2,Male,18,Student at college / university,High school diploma (or equivalent),CAN,23,28,4
Somewhat difficult,League of Legends,15,1,2,Male,19,Student at college / university,High school diploma (or equivalent),NOR,11,11,5
NA,League of Legends,35,1,2,Male,19,Employed,None,NOR,18,NA,0
Somewhat difficult,League of Legends,20,1,1,Male,18,Student at school,None,CAN,18,NA,4
Somewhat difficult,League of Legends,10,1,4,Male,18,Student at school,High school diploma (or equivalent),USA,25,22,5
Somewhat difficult,League of Legends,30,1,1,Male,18,Student at school,High school diploma (or equivalent),DEU,15,25,3
Somewhat difficult,League of Legends,6,1,2,Female,20,Student at college / university,Bachelor (or equivalent),NA,16,32,11
Not difficult at all,League of Legends,6,1,3,Male,20,Employed,High school diploma (or equivalent),CAN,25,22,2
Not difficult at all,League of Legends,4,1,3,Female,25,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",CAN,35,8,1
NA,League of Legends,35,1,3,Male,18,Student at school,None,USA,28,14,0
Somewhat difficult,League of Legends,30,1,1,Male,18,Unemployed / between jobs,High school diploma (or equivalent),USA,28,23,8
Not difficult at all,League of Legends,2,1,1,Female,20,Student at college / university,High school diploma (or equivalent),ARG,20,29,3
Not difficult at all,League of Legends,16,0,1,Male,18,Student at school,None,USA,6,24,1
Very difficult,League of Legends,4,0,1,Male,18,Student at school,High school diploma (or equivalent),USA,6,35,21
Somewhat difficult,League of Legends,20,1,1,Male,24,Employed,High school diploma (or equivalent),USA,7,40,8
Not difficult at all,League of Legends,15,1,3,Female,31,Unemployed / between jobs,Master (or equivalent),USA,28,10,0
Not difficult at all,League of Legends,30,1,3,Male,20,Student at college / university,Bachelor (or equivalent),MLT,10,9,6
Not difficult at all,League of Legends,40,1,2,Male,22,Student at college / university,Bachelor (or equivalent),USA,12,12,0
Very difficult,League of Legends,8,1,2,Male,20,Student at college / university,High school diploma (or equivalent),GBR,14,18,8
Somewhat difficult,League of Legends,15,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,25,20,8
Very difficult,League of Legends,8,1,2,Male,20,Student at college / university,High school diploma (or equivalent),GBR,14,18,8
Not difficult at all,League of Legends,30,1,1,Male,19,Student at college / university,High school diploma (or equivalent),GBR,18,30,3
Somewhat difficult,League of Legends,14,1,2,Male,20,Student at college / university,Bachelor (or equivalent),GBR,18,30,7
Not difficult at all,League of Legends,15,0,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,21,11,2
Not difficult at all,League of Legends,25,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,18,4,0
Somewhat difficult,League of Legends,40,1,3,Male,22,Unemployed / between jobs,High school diploma (or equivalent),USA,8,26,13
Extremely difficult,League of Legends,40,1,3,Male,21,Unemployed / between jobs,Bachelor (or equivalent),USA,5,59,21
Somewhat difficult,League of Legends,8,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,9,25,7
Somewhat difficult,League of Legends,15,1,3,Male,19,Student at college / university,Bachelor (or equivalent),FRA,26,17,18
Somewhat difficult,League of Legends,10,1,2,Male,18,Student at school,High school diploma (or equivalent),ARG,20,8,9
Somewhat difficult,League of Legends,0,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,25,11,8
Not difficult at all,League of Legends,35,0,1,Female,21,Unemployed / between jobs,Bachelor (or equivalent),USA,26,11,1
Somewhat difficult,League of Legends,2,1,2,Male,22,Student at college / university,Bachelor (or equivalent),USA,23,1,3
Somewhat difficult,League of Legends,8,1,2,Male,24,Employed,Bachelor (or equivalent),USA,27,11,3
Not difficult at all,League of Legends,12,1,2,Male,22,Student at college / university,None,CAN,28,16,1
Somewhat difficult,League of Legends,15,1,2,Male,22,Student at college / university,High school diploma (or equivalent),CAN,13,28,14
Not difficult at all,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),FIN,29,5,2
Very difficult,League of Legends,70,1,1,Male,21,Employed,Bachelor (or equivalent),USA,13,39,15
Somewhat difficult,League of Legends,44,1,1,Male,19,Student at college / university,High school diploma (or equivalent),GBR,30,15,9
Somewhat difficult,League of Legends,25,1,1,Male,21,Employed,Bachelor (or equivalent),USA,6,19,13
Not difficult at all,League of Legends,25,1,2,Male,24,Student at college / university,Bachelor (or equivalent),THA,22,3,0
Somewhat difficult,League of Legends,35,0,2,Male,22,Employed,Bachelor (or equivalent),AUS,13,20,2
Somewhat difficult,League of Legends,17,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,21,27,10
Not difficult at all,League of Legends,30,1,4,Male,19,Student at college / university,High school diploma (or equivalent),BRA,23,6,2
Somewhat difficult,League of Legends,30,1,4,Male,22,Unemployed / between jobs,Bachelor (or equivalent),USA,19,14,8
Not difficult at all,League of Legends,5,1,3,Male,23,Employed,Bachelor (or equivalent),USA,25,13,3
Extremely difficult,League of Legends,30,1,1,Male,27,Unemployed / between jobs,Bachelor (or equivalent),AUS,16,10,10
Not difficult at all,League of Legends,20,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,25,12,2
Not difficult at all,League of Legends,21,1,2,Male,20,Student at college / university,High school diploma (or equivalent),CAN,13,5,2
Not difficult at all,League of Legends,25,1,4,Male,18,Student at college / university,High school diploma (or equivalent),GRC,29,31,5
Not difficult at all,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,13,28,3
Somewhat difficult,League of Legends,10,1,3,Male,25,Employed,Bachelor (or equivalent),AUS,31,11,5
Not difficult at all,League of Legends,12,1,1,Male,20,Student at college / university,Bachelor (or equivalent),USA,17,30,2
Not difficult at all,League of Legends,35,0,2,Male,21,Student at college / university,Bachelor (or equivalent),USA,17,14,2
Somewhat difficult,League of Legends,15,1,2,Male,19,Student at college / university,None,GBR,10,51,14
Not difficult at all,League of Legends,20,1,2,Male,18,Unemployed / between jobs,None,NA,22,24,0
Not difficult at all,League of Legends,18,1,1,Male,19,Student at college / university,Bachelor (or equivalent),USA,28,12,4
NA,League of Legends,20,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,29,11,0
Somewhat difficult,League of Legends,40,1,1,Male,20,Student at college / university,High school diploma (or equivalent),AUS,18,20,6
Extremely difficult,League of Legends,14,1,1,Male,23,Student at college / university,High school diploma (or equivalent),BRA,8,60,10
Not difficult at all,League of Legends,30,1,1,Male,21,Student at college / university,High school diploma (or equivalent),GBR,31,6,0
Extremely difficult,League of Legends,40,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,7,NA,21
Very difficult,League of Legends,5,1,1,Male,20,Student at college / university,High school diploma (or equivalent),CAN,23,33,13
Somewhat difficult,League of Legends,40,1,1,Male,20,Student at college / university,High school diploma (or equivalent),NLD,19,35,1
Very difficult,League of Legends,60,1,2,Male,18,Student at college / university,Bachelor (or equivalent),AUS,12,31,10
Very difficult,League of Legends,15,1,1,Male,38,Employed,None,USA,21,31,8
Not difficult at all,League of Legends,10,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,19,34,0
Not difficult at all,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,25,51,9
Not difficult at all,League of Legends,54,1,5,Male,18,Employed,High school diploma (or equivalent),USA,22,6,0
Very difficult,League of Legends,12,1,3,Male,20,Employed,High school diploma (or equivalent),USA,17,52,13
Not difficult at all,League of Legends,15,1,1,Male,21,Student at college / university,Bachelor (or equivalent),USA,22,5,5
Not difficult at all,League of Legends,16,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,21,18,2
NA,League of Legends,14,1,1,Male,21,Student at college / university,High school diploma (or equivalent),AUS,23,12,0
Not difficult at all,League of Legends,50,1,3,Male,20,Unemployed / between jobs,High school diploma (or equivalent),SWE,17,14,7
Somewhat difficult,League of Legends,10,1,1,Male,22,Employed,High school diploma (or equivalent),USA,20,13,9
Not difficult at all,League of Legends,50,1,1,Male,21,Employed,High school diploma (or equivalent),USA,10,8,5
Somewhat difficult,League of Legends,30,1,1,Male,31,Employed,Bachelor (or equivalent),AUS,18,11,13
Somewhat difficult,League of Legends,15,1,3,Male,23,Employed,High school diploma (or equivalent),USA,27,17,8
Not difficult at all,League of Legends,30,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,33,12,2
Extremely difficult,League of Legends,20,1,5,Male,18,Student at school,High school diploma (or equivalent),USA,5,52,17
Very difficult,League of Legends,10,0,3,Male,22,Student at college / university,High school diploma (or equivalent),PRT,18,13,2
Not difficult at all,League of Legends,15,1,1,Male,22,Employed,Bachelor (or equivalent),USA,28,5,1
Not difficult at all,League of Legends,30,1,1,Male,35,Employed,Master (or equivalent),NOR,30,1,0
Somewhat difficult,League of Legends,20,1,2,Male,18,Student at school,High school diploma (or equivalent),GBR,21,30,8
Not difficult at all,League of Legends,8,1,3,Male,20,Student at college / university,High school diploma (or equivalent),USA,12,39,3
Somewhat difficult,League of Legends,50,1,1,Female,24,Unemployed / between jobs,Bachelor (or equivalent),USA,22,37,3
Not difficult at all,League of Legends,22,1,1,Male,22,Unemployed / between jobs,High school diploma (or equivalent),ZAF,7,10,6
Not difficult at all,League of Legends,30,1,2,Male,23,Employed,High school diploma (or equivalent),USA,17,3,6
Somewhat difficult,League of Legends,21,1,1,Male,18,Student at school,High school diploma (or equivalent),GBR,11,40,12
Not difficult at all,League of Legends,30,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,24,NA,2
Not difficult at all,League of Legends,15,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,20,9,3
Not difficult at all,League of Legends,20,1,1,Male,21,Student at college / university,High school diploma (or equivalent),CAN,22,NA,4
Not difficult at all,League of Legends,40,1,5,Male,22,Employed,High school diploma (or equivalent),USA,27,NA,3
Very difficult,League of Legends,10,1,1,Male,18,Student at college / university,High school diploma (or equivalent),CAN,18,27,5
Somewhat difficult,League of Legends,15,1,2,Male,27,Employed,High school diploma (or equivalent),USA,17,45,11
Somewhat difficult,League of Legends,12,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,14,16,6
Not difficult at all,League of Legends,20,1,2,Male,19,Student at college / university,High school diploma (or equivalent),CAN,29,30,2
Somewhat difficult,League of Legends,10,1,2,Male,18,Student at school,None,USA,27,23,3
Not difficult at all,League of Legends,24,1,2,Male,20,Student at college / university,Bachelor (or equivalent),CAN,25,4,2
Somewhat difficult,League of Legends,30,0,1,Male,18,Student at school,High school diploma (or equivalent),SGP,15,38,8
Very difficult,League of Legends,10,1,1,Female,25,Student at college / university,High school diploma (or equivalent),CAN,14,50,11
Somewhat difficult,League of Legends,15,1,2,Male,20,Employed,High school diploma (or equivalent),USA,26,15,3
Very difficult,League of Legends,7,0,2,Female,25,Student at college / university,High school diploma (or equivalent),USA,6,34,17
Not difficult at all,League of Legends,10,1,1,Female,20,Student at college / university,High school diploma (or equivalent),USA,18,7,4
Not difficult at all,League of Legends,25,1,1,Male,18,Student at school,High school diploma (or equivalent),CAN,26,15,1
Not difficult at all,League of Legends,15,1,2,Male,19,Student at college / university,High school diploma (or equivalent),BRA,18,8,2
Not difficult at all,League of Legends,28,1,1,Male,21,Student at college / university,High school diploma (or equivalent),ARG,17,36,0
Somewhat difficult,League of Legends,15,1,3,Male,18,Student at college / university,High school diploma (or equivalent),CAN,19,19,5
Very difficult,League of Legends,20,1,2,Male,18,Student at college / university,High school diploma (or equivalent),CAN,10,42,8
Somewhat difficult,League of Legends,20,1,1,Male,22,Unemployed / between jobs,High school diploma (or equivalent),AUS,7,42,7
Not difficult at all,League of Legends,20,1,2,Male,24,Employed,Bachelor (or equivalent),USA,20,30,2
Very difficult,League of Legends,20,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,16,64,14
Somewhat difficult,League of Legends,12,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,14,17,6
Very difficult,League of Legends,5,1,3,Male,23,Unemployed / between jobs,High school diploma (or equivalent),USA,8,25,21
Extremely difficult,League of Legends,40,1,3,Female,25,Unemployed / between jobs,High school diploma (or equivalent),USA,9,49,21
Somewhat difficult,League of Legends,30,1,3,Male,20,Unemployed / between jobs,Bachelor (or equivalent),USA,10,18,7
Somewhat difficult,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,24,41,10
Somewhat difficult,League of Legends,2,1,1,Male,21,Student at school,High school diploma (or equivalent),NLD,19,2,7
Somewhat difficult,League of Legends,4,1,3,Male,23,Student at college / university,High school diploma (or equivalent),USA,8,17,2
Not difficult at all,League of Legends,20,1,2,Male,20,Employed,Bachelor (or equivalent),USA,16,6,0
Very difficult,League of Legends,36,1,3,Male,18,Unemployed / between jobs,High school diploma (or equivalent),USA,14,44,6
Somewhat difficult,League of Legends,11,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,16,16,7
Not difficult at all,League of Legends,36,1,2,Male,19,Unemployed / between jobs,High school diploma (or equivalent),BRA,13,15,1
Not difficult at all,League of Legends,15,1,1,Male,19,Unemployed / between jobs,High school diploma (or equivalent),NZL,14,11,0
Very difficult,League of Legends,20,1,1,Male,25,Student at college / university,High school diploma (or equivalent),PRT,5,28,12
Somewhat difficult,League of Legends,25,1,4,Male,24,Employed,High school diploma (or equivalent),USA,13,23,10
Somewhat difficult,League of Legends,20,1,3,Male,24,Employed,Bachelor (or equivalent),USA,24,15,7
Somewhat difficult,League of Legends,35,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,7,29,16
Not difficult at all,League of Legends,15,1,1,Male,21,Employed,Bachelor (or equivalent),GBR,30,NA,1
Very difficult,League of Legends,21,1,1,Male,21,Unemployed / between jobs,High school diploma (or equivalent),CAN,19,55,2
Somewhat difficult,League of Legends,50,1,3,Male,18,Student at college / university,High school diploma (or equivalent),GBR,14,18,10
Not difficult at all,League of Legends,28,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,25,47,2
Not difficult at all,League of Legends,7,1,2,Male,19,Student at college / university,High school diploma (or equivalent),AUS,27,12,2
Not difficult at all,League of Legends,60,1,1,Male,22,Student at college / university,High school diploma (or equivalent),CHL,20,2,2
Very difficult,League of Legends,35,0,1,Male,20,Student at college / university,Bachelor (or equivalent),SWE,30,1,13
Not difficult at all,League of Legends,14,1,1,Male,18,Student at college / university,High school diploma (or equivalent),MEX,15,16,0
NA,League of Legends,21,1,1,Male,20,Employed,High school diploma (or equivalent),USA,27,24,0
Somewhat difficult,League of Legends,15,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,15,39,10
Not difficult at all,League of Legends,20,1,1,Male,23,Student at college / university,High school diploma (or equivalent),GRC,24,11,8
Not difficult at all,League of Legends,14,0,2,Male,19,Student at college / university,High school diploma (or equivalent),DEU,29,9,2
Somewhat difficult,League of Legends,25,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,25,17,4
Not difficult at all,League of Legends,16,1,4,Other,18,Student at college / university,High school diploma (or equivalent),USA,33,5,2
Somewhat difficult,League of Legends,4,1,2,Male,18,Student at school,None,USA,24,20,4
Not difficult at all,League of Legends,18,1,1,Male,22,Student at college / university,High school diploma (or equivalent),DEU,13,6,1
Not difficult at all,League of Legends,30,1,4,Male,18,Student at college / university,High school diploma (or equivalent),BRA,14,33,6
Not difficult at all,League of Legends,20,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,20,15,5
Somewhat difficult,League of Legends,18,1,1,Male,24,Student at college / university,None,CAN,15,16,8
Not difficult at all,League of Legends,6,1,2,Male,19,Student at college / university,High school diploma (or equivalent),PAK,14,35,7
Not difficult at all,League of Legends,5,1,2,Female,20,Student at college / university,High school diploma (or equivalent),USA,12,25,4
Not difficult at all,League of Legends,20,1,1,Female,24,Student at college / university,High school diploma (or equivalent),USA,15,26,0
NA,League of Legends,20,1,2,Male,19,Student at college / university,High school diploma (or equivalent),SWE,19,12,0
Extremely difficult,League of Legends,30,1,1,Male,18,Unemployed / between jobs,None,CAN,11,40,11
Not difficult at all,League of Legends,7,1,2,Male,26,Student at college / university,High school diploma (or equivalent),DEU,18,0,1
Not difficult at all,League of Legends,84,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,19,48,15
Somewhat difficult,League of Legends,20,1,3,Male,19,Employed,High school diploma (or equivalent),USA,15,16,7
Not difficult at all,League of Legends,12,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,10,29,3
Not difficult at all,League of Legends,20,1,4,Male,22,Student at college / university,Master (or equivalent),AUS,30,2,1
Not difficult at all,League of Legends,10,1,1,Male,32,Employed,Bachelor (or equivalent),SGP,9,6,1
Not difficult at all,League of Legends,11,1,2,Male,19,Student at college / university,High school diploma (or equivalent),HUN,15,21,4
Somewhat difficult,League of Legends,10,1,3,Male,21,Student at college / university,Bachelor (or equivalent),USA,25,6,6
Very difficult,League of Legends,80,1,1,Male,18,Student at school,None,USA,5,35,16
Extremely difficult,League of Legends,8,1,1,Male,18,Unemployed / between jobs,High school diploma (or equivalent),AUS,9,29,13
Not difficult at all,League of Legends,25,1,3,Male,18,Student at college / university,High school diploma (or equivalent),CAN,14,31,2
Somewhat difficult,League of Legends,10,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,14,22,8
Somewhat difficult,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,15,49,10
Not difficult at all,League of Legends,16,1,1,Male,21,Employed,High school diploma (or equivalent),CAN,27,28,2
NA,League of Legends,40,0,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,20,15,0
Not difficult at all,League of Legends,25,1,4,Male,22,Employed,High school diploma (or equivalent),DNK,17,1,2
Very difficult,League of Legends,13,1,4,Male,20,Student at college / university,High school diploma (or equivalent),MEX,34,11,12
NA,League of Legends,10,1,1,Male,18,Student at school,None,NZL,28,4,0
NA,League of Legends,20,1,1,Female,19,Student at school,High school diploma (or equivalent),CAN,12,31,0
Not difficult at all,League of Legends,8,1,3,Male,22,Student at college / university,High school diploma (or equivalent),USA,16,25,1
Somewhat difficult,League of Legends,10,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,27,11,6
Somewhat difficult,League of Legends,20,1,1,Male,27,Student at college / university,Bachelor (or equivalent),CAN,10,31,6
Very difficult,League of Legends,30,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,11,21,11
Somewhat difficult,League of Legends,20,1,1,Male,28,Employed,Bachelor (or equivalent),USA,25,38,8
Somewhat difficult,League of Legends,14,1,1,Male,23,Student at college / university,Bachelor (or equivalent),CZE,21,10,3
Very difficult,League of Legends,60,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,5,44,21
Not difficult at all,League of Legends,35,1,3,Male,20,Student at college / university,High school diploma (or equivalent),HKG,19,43,0
Somewhat difficult,League of Legends,8,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,15,38,13
Not difficult at all,League of Legends,20,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,15,35,2
Not difficult at all,League of Legends,21,0,3,Male,20,Student at college / university,None,USA,24,14,4
Not difficult at all,League of Legends,15,1,1,Male,25,Student at college / university,Master (or equivalent),USA,29,8,0
Not difficult at all,League of Legends,20,1,3,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,24,8,3
Not difficult at all,League of Legends,35,1,1,Male,18,Student at school,None,USA,30,14,1
Not difficult at all,League of Legends,14,1,1,Male,20,Student at college / university,High school diploma (or equivalent),USA,24,16,1
Not difficult at all,League of Legends,40,1,1,Male,27,Employed,None,NA,34,7,3
Somewhat difficult,League of Legends,30,1,2,Female,20,Student at college / university,High school diploma (or equivalent),CAN,23,9,6
Not difficult at all,League of Legends,20,1,4,Male,20,Student at college / university,High school diploma (or equivalent),AUT,14,6,7
Very difficult,League of Legends,35,1,4,Male,21,Unemployed / between jobs,High school diploma (or equivalent),FIN,19,14,13
Not difficult at all,League of Legends,15,1,1,Male,22,Employed,High school diploma (or equivalent),USA,30,14,0
Not difficult at all,League of Legends,23,1,2,Male,18,Student at school,None,USA,21,11,0
Very difficult,League of Legends,8,1,1,Male,18,Student at college / university,High school diploma (or equivalent),GBR,9,39,14
Not difficult at all,League of Legends,14,0,2,Male,18,Student at school,None,USA,15,17,12
Not difficult at all,League of Legends,12,1,1,Male,20,Employed,High school diploma (or equivalent),NLD,14,13,3
Somewhat difficult,League of Legends,20,1,4,Male,20,Student at college / university,High school diploma (or equivalent),CAN,26,17,2
Somewhat difficult,League of Legends,4,1,2,Male,18,Student at school,High school diploma (or equivalent),MEX,17,16,4
Not difficult at all,League of Legends,16,1,2,Male,22,Student at college / university,High school diploma (or equivalent),USA,26,8,2
Extremely difficult,League of Legends,20,1,1,Male,18,Student at college / university,High school diploma (or equivalent),GBR,10,41,16
Not difficult at all,League of Legends,10,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,23,9,1
Somewhat difficult,League of Legends,15,1,1,Male,22,Unemployed / between jobs,High school diploma (or equivalent),AUS,8,34,5
NA,League of Legends,60,1,1,Male,21,Student at college / university,High school diploma (or equivalent),AUS,22,12,0
Somewhat difficult,League of Legends,20,1,2,Male,18,Student at school,None,USA,26,13,6
Somewhat difficult,League of Legends,40,1,2,Male,27,Student at college / university,High school diploma (or equivalent),CAN,10,27,3
Not difficult at all,League of Legends,10,1,3,Male,18,Student at school,None,USA,17,0,5
Not difficult at all,League of Legends,16,0,2,Female,20,Employed,High school diploma (or equivalent),USA,23,7,2
Very difficult,League of Legends,25,1,2,Male,18,Student at school,None,USA,31,7,7
Somewhat difficult,League of Legends,6,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,17,30,10
Somewhat difficult,League of Legends,12,1,2,Male,31,Employed,"Ph.D., Psy. D., MD (or equivalent)",USA,17,17,5
NA,League of Legends,4,1,1,Male,21,Employed,High school diploma (or equivalent),PRT,16,3,0
Somewhat difficult,League of Legends,30,1,1,Male,20,Student at college / university,High school diploma (or equivalent),GBR,15,46,11
Somewhat difficult,League of Legends,25,1,1,Male,24,Employed,Bachelor (or equivalent),CAN,14,14,2
Not difficult at all,League of Legends,20,1,2,Male,28,Student at college / university,Master (or equivalent),USA,12,3,1
Somewhat difficult,League of Legends,16,0,3,Male,21,Student at college / university,High school diploma (or equivalent),USA,19,10,4
Not difficult at all,League of Legends,20,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,15,1,11
Not difficult at all,League of Legends,15,1,2,Male,18,Student at school,None,USA,22,34,2
Somewhat difficult,League of Legends,12,1,3,Male,18,Student at school,None,USA,14,24,15
Not difficult at all,League of Legends,25,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,23,6,0
Somewhat difficult,League of Legends,10,1,3,Female,21,Student at college / university,High school diploma (or equivalent),BRA,12,12,14
Somewhat difficult,League of Legends,10,1,1,Male,19,Student at college / university,High school diploma (or equivalent),AUS,27,44,7
Somewhat difficult,League of Legends,12,1,2,Male,22,Student at college / university,High school diploma (or equivalent),USA,26,11,8
Very difficult,League of Legends,18,1,2,Male,23,Student at college / university,Bachelor (or equivalent),GBR,9,26,6
Very difficult,League of Legends,50,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,13,30,7
Somewhat difficult,League of Legends,30,1,2,Male,26,Employed,Master (or equivalent),JPN,25,2,0
Somewhat difficult,League of Legends,15,1,2,Male,18,Employed,None,USA,14,16,12
